"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,5.8700339738064,33.9380078400761
2,3.92904628598608,4.49123688594492
3,4.96419169522303,5.07144394190849
4,5.11920198072682,5.41176088638007
5,5.20076008253366,5.54906263732117
6,5.24875083257057,5.63240177359875
7,5.27882449806808,5.67731792469458
8,5.3007816611083,5.71238410002253
9,5.32111580409221,5.73578182108669
10,5.33563265058436,5.75594576423271
11,5.34595145804293,5.77084802236777
12,5.35364908374032,5.78150936716908
